Scale Factor,Variant,Trial,Query,Time
1,standard,0,Q1.1,0.01679
1,standard,0,Q1.2,0.00755
1,standard,0,Q1.3,0.00442
1,standard,0,Q2.1,0.16264
1,standard,0,Q2.2,0.01989
1,standard,0,Q2.3,0.00735
1,standard,0,Q3.1,0.01559
1,standard,0,Q3.2,0.01044
1,standard,0,Q3.3,0.00847
1,standard,0,Q3.4,0.00603
1,standard,0,Q4.1,0.01989
1,standard,0,Q4.2,0.01648
1,standard,0,Q4.3,0.01061
1,standard,1,Q1.1,0.00675
1,standard,1,Q1.2,0.00673
1,standard,1,Q1.3,0.00541
1,standard,1,Q2.1,0.10503
1,standard,1,Q2.2,0.01062
1,standard,1,Q2.3,0.00818
1,standard,1,Q3.1,0.01211
1,standard,1,Q3.2,0.00998
1,standard,1,Q3.3,0.00694
1,standard,1,Q3.4,0.00529
1,standard,1,Q4.1,0.02269
1,standard,1,Q4.2,0.01704
1,standard,1,Q4.3,0.01135
1,standard,2,Q1.1,0.0062
1,standard,2,Q1.2,0.00622
1,standard,2,Q1.3,0.00555
1,standard,2,Q2.1,0.0639
1,standard,2,Q2.2,0.01016
1,standard,2,Q2.3,0.00721
1,standard,2,Q3.1,0.00988
1,standard,2,Q3.2,0.00969
1,standard,2,Q3.3,0.00714
1,standard,2,Q3.4,0.00588
1,standard,2,Q4.1,0.01935
1,standard,2,Q4.2,0.01632
1,standard,2,Q4.3,0.01099
1,standard,3,Q1.1,0.00611
1,standard,3,Q1.2,0.00719
1,standard,3,Q1.3,0.0059
1,standard,3,Q2.1,0.05247
1,standard,3,Q2.2,0.01067
1,standard,3,Q2.3,0.007
1,standard,3,Q3.1,0.01233
1,standard,3,Q3.2,0.00939
1,standard,3,Q3.3,0.00692
1,standard,3,Q3.4,0.00638
1,standard,3,Q4.1,0.02099
1,standard,3,Q4.2,0.01855
1,standard,3,Q4.3,0.01102
1,standard,4,Q1.1,0.00632
1,standard,4,Q1.2,0.00712
1,standard,4,Q1.3,0.0067
1,standard,4,Q2.1,0.06534
1,standard,4,Q2.2,0.011
1,standard,4,Q2.3,0.00819
1,standard,4,Q3.1,0.01212
1,standard,4,Q3.2,0.01029
1,standard,4,Q3.3,0.00768
1,standard,4,Q3.4,0.00591
1,standard,4,Q4.1,0.0198
1,standard,4,Q4.2,0.02021
1,standard,4,Q4.3,0.01126
1,standard,5,Q1.1,0.00855
1,standard,5,Q1.2,0.00703
1,standard,5,Q1.3,0.00609
1,standard,5,Q2.1,0.04293
1,standard,5,Q2.2,0.01059
1,standard,5,Q2.3,0.00744
1,standard,5,Q3.1,0.01084
1,standard,5,Q3.2,0.01005
1,standard,5,Q3.3,0.00787
1,standard,5,Q3.4,0.00573
1,standard,5,Q4.1,0.01885
1,standard,5,Q4.2,0.02018
1,standard,5,Q4.3,0.01197
1,standard,6,Q1.1,0.00652
1,standard,6,Q1.2,0.00649
1,standard,6,Q1.3,0.00644
1,standard,6,Q2.1,0.03329
1,standard,6,Q2.2,0.01059
1,standard,6,Q2.3,0.00796
1,standard,6,Q3.1,0.01145
1,standard,6,Q3.2,0.00971
1,standard,6,Q3.3,0.0075
1,standard,6,Q3.4,0.00577
1,standard,6,Q4.1,0.01851
1,standard,6,Q4.2,0.0179
1,standard,6,Q4.3,0.0117
1,standard,7,Q1.1,0.00696
